Frequency,Impedance,Phase,Real,Imaginary,Magnitude,
 1500 , 5,0841965530921E-05 , 29,8331007543939 , 147 ,-4915 , 4917,19777922345 
 1520 , 5,48150496813087E-05 , 33,0380302960041 , 391 ,-4544 , 4560,79126906724 
 1540 , 5,9438713697904E-05 , 36,2250418161148 , 593 ,-4164 , 4206,01295765955 
 1560 , 6,45509919521157E-05 , 39,3312706573464 , 753 ,-3799 , 3872,90717678594 
 1580 , 7,06831735788401E-05 , 42,3094557368755 , 867 ,-3429 , 3536,9096680577 
 1600 , 7,77548973211785E-05 , 45,5856297094468 , 965 ,-3067 , 3215,23156242284 
 1620 , 8,58242650465022E-05 , 48,5332963843404 , 1016 ,-2730 , 2912,92911001967 
 1640 , 9,57846461722426E-05 , 51,6500600530594 , 1042 ,-2393 , 2610,02164741981 
 1660 , 1,07357873655973E-04 , 54,4539605371755 , 1033 ,-2087 , 2328,6601297742 
 1680 , 1,2215402839676E-04 , 57,1773071214172 , 994 ,-1789 , 2046,59644287778 
 1700 , 1,39537697143208E-04 , 59,8406193394337 , 942 ,-1524 , 1791,63054227148 
 1720 , 1,64360291675013E-04 , 62,3219803434297 , 855 ,-1258 , 1521,0486514244 
 1740 , 1,94539275433095E-04 , 64,3210895372398 , 759 ,-1037 , 1285,08754565594 
 1760 , 2,36334064345556E-04 , 66,1707354408096 , 652 ,-833 , 1057,8246546569 
 1780 , 3,02061708114809E-04 , 67,5798698669482 , 526 ,-639 , 827,645455494078 
 1800 , 3,99276973114926E-04 , 67,3514446631152 , 396 ,-485 , 626,131775267795 
 1820 , 5,65094780107053E-04 , 64,7567625163064 , 264 ,-355 , 442,40366182933 
 1840 , 9,70502452041596E-04 , 54,3866222027447 , 114 ,-231 , 257,598524840497 
 1860 , 1,60494003285697E-03 , 12,4777373704219 ,-42 ,-150 , 155,769059828966 
 1880 , 1,24310435747178E-03 ,-40,2902244777653 ,-187 ,-74 , 201,109422951785 
 1900 , 7,55852932631425E-04 ,-55,9798167461558 ,-329 ,-34 , 330,75217308432 
 1920 , 5,59233739451483E-04 ,-62,6490408451379 ,-447 , 6 , 447,040266642726 
 1940 , 4,23667963582192E-04 ,-62,8510380936126 ,-590 , 10 , 590,084739677277 
 1960 , 3,54889938653969E-04 ,-63,9138127996877 ,-704 , 25 , 704,443752190336 
 1980 , 3,0338376017479E-04 ,-62,4362683896683 ,-824 , 8 , 824,038834036358 
 2000 , 2,69050301779246E-04 ,-60,7083605512222 ,-929 ,-19 , 929,194274627217 
 2020 , 2,44742498705363E-04 ,-58,7935268992822 ,-1020 ,-55 , 1021,48176684657 
 2040 , 2,2587577720496E-04 ,-56,540297655797 ,-1102 ,-103 , 1106,80305384472 
 2060 , 2,14113775674936E-04 ,-54,1524211428182 ,-1157 ,-157 , 1167,60352860036 
 2080 , 2,02642104159703E-04 ,-51,8908686131758 ,-1215 ,-214 , 1233,70215206102 
 2100 , 1,93753919620893E-04 ,-50,0736894478803 ,-1263 ,-264 , 1290,29647755855 
 2120 , 1,87146038044503E-04 ,-46,8242713738277 ,-1290 ,-347 , 1335,85515681903 
 2140 , 1,80937896522159E-04 ,-44,8352140536974 ,-1321 ,-405 , 1381,68954544789 
 2160 , 1,75530767590446E-04 ,-42,312786522144 ,-1342 ,-477 , 1424,25173336738 
 2180 , 1,74842960137647E-04 ,-40,1232527320714 ,-1328 ,-530 , 1429,85453805623 
 2200 , 1,71700988404708E-04 ,-37,6738018446974 ,-1328 ,-597 , 1456,01957404425 
 2220 , 1,71319297573571E-04 ,-35,4729976914403 ,-1307 ,-649 , 1459,26351287216 
 2240 , 1,70735834278562E-04 ,-33,232081749462 ,-1285 ,-702 , 1464,25032012972 
 2260 , 1,71316924277997E-04 ,-30,8152564847504 ,-1250 ,-753 , 1459,28372840925 
 2280 , 1,73365608414975E-04 ,-28,8511515957073 ,-1209 ,-786 , 1442,03918115979 
 2300 , 1,76875684942467E-04 ,-26,96437701243 ,-1159 ,-809 , 1413,42208840813 
 2320 , 1,81052972203603E-04 ,-25,2424871529272 ,-1108 ,-824 , 1380,81135568911 
