Frequency;Impedance;Phase;Real;Imaginary;Magnitude
 8180 ; 1,18816605899005E-04 ;-63,8257033423734 ;-1398 ;-115 ; 1402,72199669072 
 8200 ; 1,14323970780822E-04 ;-57,9351892925519 ;-1433 ;-268 ; 1457,84532787261 
 8220 ; 1,11850425086987E-04 ;-63,7933846528508 ;-1485 ;-123 ; 1490,08523246155 
 8240 ; 1,20390930549476E-04 ;-60,5562177984025 ;-1371 ;-192 ; 1384,37892211634 
 8260 ; 1,07342046167663E-04 ;-61,4993895098988 ;-1541 ;-190 ; 1552,66899241274 
 8280 ; 1,10357127383217E-04 ;-58,0368104381459 ;-1485 ;-275 ; 1510,24832395206 
 8300 ; 1,08160320824945E-04 ;-58,8520163505987 ;-1519 ;-259 ; 1540,92245100135 
 8320 ; 1,14825360151324E-04 ;-59,1308601964515 ;-1432 ;-237 ; 1451,47958993573 
 8340 ; 1,045056966671E-04 ;-60,45407348607 ;-1579 ;-224 ; 1594,80939299968 
 8360 ; 1,04651599453096E-04 ;-59,5332168411639 ;-1573 ;-249 ; 1592,58594744522 
 8380 ; 1,09483558388475E-04 ;-62,1922520899091 ;-1513 ;-168 ; 1522,29859094726 
 8400 ; 1,02126867135929E-04 ;-62,1958499033969 ;-1622 ;-180 ; 1631,95710727948 
 8420 ; 1,00599652950781E-04 ;-61,4204293785316 ;-1644 ;-205 ; 1656,73202419703 
 8440 ; 1,08879311937388E-04 ;-60,3029039540691 ;-1515 ;-219 ; 1530,74687652793 
 8460 ; 1,02186624604267E-04 ;-59,106391649936 ;-1609 ;-267 ; 1631,0027590412 
 8480 ; 9,878455235099E-05 ;-62,2330982706363 ;-1677 ;-185 ; 1687,17337579752 
 8500 ; 9,79879464797507E-05 ;-61,470122414203 ;-1688 ;-209 ; 1700,88947318749 
 8520 ; 1,04762292511385E-04 ;-59,924508671623 ;-1573 ;-238 ; 1590,90320258651 
 8540 ; 9,78629502149208E-05 ;-60,9025195729645 ;-1688 ;-226 ; 1703,06194837416 
 8560 ; 1,01429633661147E-04 ;-58,8939924335716 ;-1620 ;-275 ; 1643,17527975563 
 8580 ; 1,01906992634147E-04 ;-59,4518477498435 ;-1615 ;-258 ; 1635,47821752538 
 8600 ; 1,00999176253876E-04 ;-62,1612556834672 ;-1640 ;-183 ; 1650,17847519594 
 8620 ; 9,95009093914236E-05 ;-62,2560890813311 ;-1665 ;-183 ; 1675,02656695349 
 8640 ; 9,56846607129444E-05 ;-63,0926333890425 ;-1734 ;-165 ; 1741,83265556712 
 8660 ; 9,90178530224958E-05 ;-60,3307896546481 ;-1666 ;-240 ; 1683,19814638681 
 8680 ; 9,78616006045084E-05 ;-61,9874758461013 ;-1692 ;-194 ; 1703,08543532026 
 8700 ; 9,27906283834317E-05 ;-63,0652730053079 ;-1788 ;-171 ; 1796,15840058721 
 8720 ; 9,34017598693381E-05 ;-62,9646635911542 ;-1776 ;-173 ; 1784,40606365255 
 8740 ; 9,15762803824868E-05 ;-61,1728865327305 ;-1805 ;-233 ; 1819,97637347302 
 8760 ; 9,38280642542133E-05 ;-62,3555121773143 ;-1766 ;-191 ; 1776,29867983963 
 8780 ; 9,09555683003533E-05 ;-60,402607090255 ;-1814 ;-259 ; 1832,39651822415 
 8800 ; 8,99763802694492E-05 ;-60,4594265533046 ;-1834 ;-260 ; 1852,33798211881 
 8820 ; 9,29696981685359E-05 ;-61,7045538180686 ;-1780 ;-213 ; 1792,69880348038 
 8840 ; 8,95608956470281E-05 ;-62,606305645468 ;-1851 ;-192 ; 1860,93121850325 
 8860 ; 8,82329230041903E-05 ;-62,3589273962717 ;-1878 ;-203 ; 1888,93964964474 
 8880 ; 9,02605395041431E-05 ;-59,7750478484741 ;-1825 ;-281 ; 1846,50643107464 
 8900 ; 8,75140023486917E-05 ;-61,7129951715551 ;-1891 ;-226 ; 1904,45714049962 
 8920 ; 8,89487711736017E-05 ;-59,9960098389145 ;-1853 ;-278 ; 1873,737708432 
 8940 ; 8,64891086182465E-05 ;-61,1340537271214 ;-1911 ;-248 ; 1927,02490902427 
 8960 ; 8,67470990848727E-05 ;-62,043193478282 ;-1909 ;-217 ; 1921,29383489356 
 8980 ; 8,78700968667122E-05 ;-61,3807904145423 ;-1882 ;-236 ; 1896,73930733773 
 9000 ; 8,68135039330858E-05 ;-60,0816370487815 ;-1899 ;-282 ; 1919,82421070264 
 9020 ; 8,71574467855923E-05 ;-61,5296285860559 ;-1898 ;-233 ; 1912,24815335249 
 9040 ; 8,47260146758775E-05 ;-60,9625152391214 ;-1950 ;-259 ; 1967,12505957298 
 9060 ; 8,70115264620015E-05 ;-60,7873707608643 ;-1898 ;-258 ; 1915,45503732142 
 9080 ; 8,5522505858547E-05 ;-60,1487130317361 ;-1928 ;-284 ; 1948,80476189894 
 9100 ; 8,41664756068797E-05 ;-60,1363007686177 ;-1959 ;-289 ; 1980,20251489589 
 9120 ; 8,4339776811856E-05 ;-61,2018807898946 ;-1960 ;-252 ; 1976,13359872252 
 9140 ; 8,4168976327682E-05 ;-60,9833584113359 ;-1963 ;-260 ; 1980,14368165545 
 9160 ; 8,41415020972224E-05 ;-60,0218366807117 ;-1959 ;-293 ; 1980,79024634109 
 9180 ; 8,25509899768965E-05 ;-60,6710965236679 ;-2000 ;-276 ; 2018,9541847204 
 9200 ; 8,20518743028772E-05 ;-60,4340872019841 ;-2011 ;-286 ; 2031,23533840862 
 9220 ; 8,17378124528803E-05 ;-60,6922515722625 ;-2020 ;-278 ; 2039,03997018205 
 9240 ; 8,2963055521106E-05 ;-60,0553422144557 ;-1987 ;-296 ; 2008,92633015748 
 9260 ; 8,24709690504445E-05 ;-60,4783750779513 ;-2001 ;-283 ; 2020,91315993538 
 9280 ; 8,18751646489468E-05 ;-60,3663408422374 ;-2015 ;-289 ; 2035,61931608049 
 9300 ; 8,13798493884659E-05 ;-60,9244004413735 ;-2030 ;-271 ; 2048,0090331832 
 9320 ; 8,03447166988427E-05 ;-60,6872396169281 ;-2055 ;-283 ; 2074,39485151694 
 9340 ; 8,08413660941754E-05 ;-60,2173923185464 ;-2040 ;-298 ; 2061,65079487289 
 9360 ; 8,04758293724285E-05 ;-60,758137456456 ;-2052 ;-280 ; 2071,0152099876 
 9380 ; 8,10363266995452E-05 ;-60,3942453463456 ;-2036 ;-291 ; 2056,69078862137 
 9400 ; 7,98228117243411E-05 ;-60,5999846228752 ;-2068 ;-288 ; 2087,95785398077 
 9420 ; 7,94084417313315E-05 ;-60,6414040453575 ;-2079 ;-288 ; 2098,85325832941 
 9440 ; 7,98454797522345E-05 ;-59,7654300056484 ;-2063 ;-318 ; 2087,36508546061 
 9460 ; 7,96234260218884E-05 ;-60,5646408481459 ;-2073 ;-290 ; 2093,18632710994 
 9480 ; 7,89198652680662E-05 ;-60,4710853319444 ;-2091 ;-296 ; 2111,84682209672 
 9500 ; 7,87352701775687E-05 ;-60,2986601916261 ;-2095 ;-303 ; 2116,79805366502 
 9520 ; 7,78454389538045E-05 ;-61,0945719565746 ;-2123 ;-277 ; 2140,99462867145 
 9540 ; 7,73803123181335E-05 ;-60,1724642171266 ;-2131 ;-313 ; 2153,86396970654 
 9560 ; 7,75232204630786E-05 ;-60,5338675198046 ;-2129 ;-299 ; 2149,89348573365 
 9580 ; 7,6930611029351E-05 ;-60,6487753923624 ;-2146 ;-297 ; 2166,45447678921 
 9600 ; 7,68807986496578E-05 ;-60,5738582122158 ;-2147 ;-300 ; 2167,85815956672 
 9620 ; 7,68259648197979E-05 ;-60,4728862003691 ;-2148 ;-304 ; 2169,40544850427 
 9640 ; 7,66908898279495E-05 ;-60,5137682778497 ;-2152 ;-303 ; 2173,22640329994 
 9660 ; 7,58811793175822E-05 ;-60,3354700189031 ;-2174 ;-313 ; 2196,4163995017 
 9680 ; 7,63477983212607E-05 ;-60,205170761736 ;-2160 ;-316 ; 2182,99244158105 
 9700 ; 7,57246567681771E-05 ;-60,6153948111291 ;-2180 ;-303 ; 2200,95638302989 
 9720 ; 7,5083424235914E-05 ;-60,5003945840612 ;-2198 ;-310 ; 2219,7531394279 
 9740 ; 7,5255397724333E-05 ;-60,1420753991186 ;-2191 ;-323 ; 2214,68056387372 
 9760 ; 7,48402428070692E-05 ;-60,2926681259734 ;-2204 ;-319 ; 2226,96587311077 
 9780 ; 7,47544643214791E-05 ;-60,1982957786723 ;-2206 ;-323 ; 2229,52124905774 
 9800 ; 7,41901947495675E-05 ;-60,4162196498732 ;-2224 ;-317 ; 2246,47835511496 
 9820 ; 7,38969337470021E-05 ;-60,2688494703072 ;-2232 ;-324 ; 2255,3935355055 
 9840 ; 7,37028910437289E-05 ;-60,2906884500877 ;-2238 ;-324 ; 2261,3314661942 
 9860 ; 7,35686049645895E-05 ;-60,1013184287272 ;-2241 ;-332 ; 2265,45911461673 
 9880 ; 7,29724863136753E-05 ;-60,220799348504 ;-2260 ;-330 ; 2283,96584913172 
 9900 ; 7,28861262333829E-05 ;-60,1040724156273 ;-2262 ;-335 ; 2286,67203595094 
 9920 ; 7,22563119604611E-05 ;-60,1522819727746 ;-2282 ;-336 ; 2306,60356368406 
 9940 ; 7,22596734780073E-05 ;-60,0012067722778 ;-2281 ;-342 ; 2306,49626056493 
 9960 ; 7,26474592171828E-05 ;-60,030864208789 ;-2269 ;-339 ; 2294,18438666119 
 9980 ; 7,22999462753759E-05 ;-60,0466816561857 ;-2280 ;-340 ; 2305,21148704408 
 10000 ; 7,19066516102757E-05 ;-59,9681864037298 ;-2292 ;-345 ; 2317,8198808363 
 10020 ; 7,19988016365749E-05 ;-59,9571339216464 ;-2289 ;-345 ; 2314,85334308677 
 10040 ; 7,18386933988872E-05 ;-59,7764923075383 ;-2293 ;-353 ; 2320,01249996633 
 10060 ; 7,18667381328724E-05 ;-59,923002308086 ;-2293 ;-347 ; 2319,10715578216 
 10080 ; 7,1118517431475E-05 ;-59,7412315030628 ;-2316 ;-358 ; 2343,50592062406 
 10100 ; 7,09917584985013E-05 ;-59,8804662392776 ;-2321 ;-353 ; 2347,69035436959 
 10120 ; 7,08128341703492E-05 ;-59,902428194927 ;-2327 ;-353 ; 2353,62231464609 
 10140 ; 7,08244249555691E-05 ;-59,8024874760127 ;-2326 ;-357 ; 2353,23713212247 
 10160 ; 7,08839708822911E-05 ;-59,7950939017113 ;-2324 ;-357 ; 2351,26030034958 
 10180 ; 7,03106898577682E-05 ;-59,9640567775117 ;-2344 ;-353 ; 2370,43139533714 
 10200 ; 7,04487337072156E-05 ;-59,8981270251727 ;-2339 ;-355 ; 2365,78654996599 
 10220 ; 7,00034344807476E-05 ;-59,7583396187726 ;-2353 ;-363 ; 2380,83556761067 
 10240 ; 7,01827302027317E-05 ;-59,7601130436175 ;-2347 ;-362 ; 2374,75325033992 
 10260 ; 6,99139466907559E-05 ;-59,9155196812939 ;-2357 ;-357 ; 2383,88296692602 
 10280 ; 6,99095489560646E-05 ;-59,8917575688157 ;-2357 ;-358 ; 2384,03292762495 
 10300 ; 6,96696320330375E-05 ;-59,8731719559752 ;-2365 ;-360 ; 2392,24267163681 
 10320 ; 6,8952866493766E-05 ;-59,9389168451582 ;-2390 ;-361 ; 2417,11005128025 
 10340 ; 6,87447266385278E-05 ;-60,0606241804734 ;-2398 ;-357 ; 2424,4283862387 
 10360 ; 6,8687233344511E-05 ;-59,9006122958474 ;-2399 ;-364 ; 2426,45770620466 
 10380 ; 6,89259793298294E-05 ;-60,1099996073737 ;-2392 ;-354 ; 2418,05293573156 
 10400 ; 6,86096678311163E-05 ;-60,2680965147125 ;-2404 ;-349 ; 2429,20089741462 
 10420 ; 6,89486004287241E-05 ;-59,9154799095716 ;-2390 ;-362 ; 2417,25960542098 
 10440 ; 6,92930014215728E-05 ;-59,8962239782276 ;-2378 ;-361 ; 2405,24530973454 
 10460 ; 6,81217560633328E-05 ;-60,232590818632 ;-2421 ;-353 ; 2446,5996811902 
 10480 ; 6,80311721649744E-05 ;-60,196428581319 ;-2424 ;-355 ; 2449,85734278549 
 10500 ; 6,805058053584E-05 ;-60,1467443240664 ;-2423 ;-357 ; 2449,15863104046 
 10520 ; 6,75016309797676E-05 ;-60,3555225726202 ;-2444 ;-351 ; 2469,07614301382 
 10540 ; 6,76407093522937E-05 ;-60,1975865613524 ;-2438 ;-357 ; 2463,99939123369 
 10560 ; 6,77305345964126E-05 ;-60,3981850960132 ;-2436 ;-348 ; 2460,73159852919 
 10580 ; 6,71744143230124E-05 ;-60,535349832793 ;-2457 ;-345 ; 2481,10338357756 
 10600 ; 6,69302375336639E-05 ;-60,5413591675104 ;-2466 ;-346 ; 2490,15501525507 
 10620 ; 6,70598240731637E-05 ;-60,5025132465682 ;-2461 ;-347 ; 2485,34303467348 
 10640 ; 6,66918275702679E-05 ;-60,4079121820222 ;-2474 ;-353 ; 2499,05682208308 
 10660 ; 6,70710796657921E-05 ;-60,5710077642931 ;-2461 ;-344 ; 2484,92595463124 
