Frequency,Impedance,Phase,Real,Imaginary,Magnitude,
 2640 , 3,45418547980479E-04 ,-25,6903099588144 ,-588 ,-422 , 723,759628606073 
 2660 , 3,5599895950485E-04 ,-29,2736058782979 ,-595 ,-373 , 702,249243502618 
 2680 , 3,71081246829151E-04 ,-33,3843915256082 ,-595 ,-316 , 673,706909568248 
 2700 , 3,66330350690273E-04 ,-36,8572835556768 ,-621 ,-283 , 682,444136907923 
 2720 , 3,63133965701053E-04 ,-40,4208913484416 ,-643 ,-246 , 688,451160213998 
 2740 , 3,55497950243833E-04 ,-44,4937004247415 ,-673 ,-204 , 703,238935213345 
 2760 , 3,59029050747176E-04 ,-47,4802347923379 ,-676 ,-167 , 696,322482762118 
 2780 , 3,4359725128752E-04 ,-50,2631018001433 ,-714 ,-140 , 727,596041770432 
 2800 , 3,27177769728287E-04 ,-53,5342482113478 ,-757 ,-104 , 764,110594089625 
 2820 , 3,19524370049746E-04 ,-56,0032782020839 ,-779 ,-73 , 782,412934453413 
 2840 , 3,07983385665964E-04 ,-57,6131782530914 ,-810 ,-53 , 811,7320986631 
 2860 , 2,9285069244344E-04 ,-59,0742623046605 ,-853 ,-34 , 853,677339514175 
 2880 , 2,79946606508375E-04 ,-60,9077069579284 ,-893 ,-7 , 893,027435188864 
 2900 , 2,74320436519939E-04 ,-59,7848872921059 ,-911 ,-25 , 911,342965079558 
 2920 , 2,5531453690391E-04 ,-60,244993182001 ,-979 ,-19 , 979,184354450172 
 2940 , 2,52525252525253E-04 ,-241,356824810253 ,-990 , 0 , 990 
 2960 , 2,43413496647755E-04 ,-60,7431641724463 ,-1027 ,-11 , 1027,05890775554 
 2980 , 2,33843370864253E-04 ,-60,6065020242685 ,-1069 ,-14 , 1069,09167053158 
 3000 , 2,29096667646239E-04 ,-60,1491183430738 ,-1091 ,-23 , 1091,24241119927 
 3020 , 2,19795190038514E-04 ,-59,7950576629191 ,-1137 ,-31 , 1137,42252483411 
 3040 , 2,16239513843368E-04 ,-58,8285236216011 ,-1155 ,-51 , 1156,12542572162 
 3060 , 2,11248053207646E-04 ,-57,6747899293069 ,-1181 ,-76 , 1183,44285878111 
 3080 , 2,1093531681017E-04 ,-57,1472137511505 ,-1182 ,-87 , 1185,19745190411 
 3100 , 2,06176258720622E-04 ,-56,3891307992119 ,-1208 ,-105 , 1212,55474103234 
 3120 , 2,00691893888897E-04 ,-56,3830995367769 ,-1241 ,-108 , 1245,69057153051 
 3140 , 1,9807829623896E-04 ,-54,8511981654184 ,-1254 ,-143 , 1262,12717267318 
 3160 , 1,99500310926664E-04 ,-54,4359695364562 ,-1244 ,-151 , 1253,13087903858 
 3180 , 1,974701361639E-04 ,-53,4571331970189 ,-1254 ,-174 , 1266,01421792964 
 3200 , 1,95761675651842E-04 ,-52,8460252057812 ,-1263 ,-189 , 1277,06303681533 
 3220 , 1,94284447523526E-04 ,-51,5577739062488 ,-1268 ,-219 , 1286,77309577097 
 3240 , 1,93935958528771E-04 ,-51,4853061871264 ,-1270 ,-221 , 1289,08533464624 
 3260 , 1,95119072625041E-04 ,-51,1519708757058 ,-1261 ,-227 , 1281,26890229959 
 3280 , 1,96025381315897E-04 ,-50,1438096025801 ,-1251 ,-248 , 1275,34505134885 
 3300 , 1,96165756260802E-04 ,-49,4473277342779 ,-1247 ,-263 , 1274,43242268863 
 3320 , 1,96930750124769E-04 ,-48,9846695613498 ,-1240 ,-272 , 1269,48178403631 
 3340 , 1,99280635833083E-04 ,-48,6942644452469 ,-1224 ,-275 , 1254,51225581897 
 3360 , 1,99711537282871E-04 ,-48,6195072581873 ,-1221 ,-276 , 1251,80549607357 
 3380 , 2,00441908319247E-04 ,-48,7134157312041 ,-1217 ,-273 , 1247,24416214308 
 3400 , 2,03987587253198E-04 ,-48,5339091264808 ,-1195 ,-272 , 1225,56476777035 
 3420 , 2,02440763870884E-04 ,-48,2996125101525 ,-1203 ,-279 , 1234,92914776517 
 3440 , 2,0471313336444E-04 ,-48,5837520033041 ,-1191 ,-270 , 1221,22111020077 
 3460 , 2,06270346221223E-04 ,-48,581893914974 ,-1182 ,-268 , 1212,00165016389 
 3480 , 2,09606704615588E-04 ,-49,2083854601907 ,-1166 ,-251 , 1192,70993959135 
 3500 , 2,10996310127105E-04 ,-50,853020445661 ,-1165 ,-216 , 1184,8548434302 
 3520 , 2,11875362985183E-04 ,-50,8087593934878 ,-1160 ,-216 , 1179,93898147319 
 3540 , 2,04990695888452E-04 ,-51,3461235082199 ,-1201 ,-212 , 1219,56754630484 
 3560 , 2,10557991693379E-04 ,-50,4822334572589 ,-1166 ,-224 , 1187,32135498356 
 3580 , 2,14272263657212E-04 ,-51,9348687934202 ,-1151 ,-191 , 1166,73990246327 
 3600 , 2,04098498465328E-04 ,-52,7173518541915 ,-1211 ,-184 , 1224,89877132766 
 3620 , 2,10479173733876E-04 ,-54,0044454513203 ,-1178 ,-152 , 1187,76597021467 
 3640 , 2,04232553412216E-04 ,-55,6369168012826 ,-1218 ,-122 , 1224,09476757316 
 3660 , 2,1036580439903E-04 ,-52,7426211193222 ,-1175 ,-178 , 1188,40607537996 
 3680 , 2,01984741879747E-04 ,-54,9552885709388 ,-1230 ,-138 , 1237,71725365691 
 3700 , 2,07881609446578E-04 ,-55,8216360437575 ,-1197 ,-116 , 1202,60758354502 
 3720 , 2,03472381871959E-04 ,-56,360825707221 ,-1224 ,-107 , 1228,66797793383 
 3740 , 1,99705674981302E-04 ,-56,3157146839676 ,-1247 ,-110 , 1251,84224245709 
 3760 , 1,98606696145587E-04 ,-59,3536554618523 ,-1258 ,-44 , 1258,76924017073 
 3780 , 1,85365654923725E-04 ,-59,5297599929884 ,-1348 ,-43 , 1348,68565648189 
 3800 , 1,91411571348364E-04 ,-60,6987858328111 ,-1306 ,-15 , 1306,08613804756 
 3820 , 1,91985223469074E-04 ,-57,3495794043578 ,-1299 ,-91 , 1302,18355080995 
 3840 , 1,81422303462908E-04 ,-61,3984037430885 ,-1378 , 1 , 1378,00036284465 
 3860 , 1,88970088817924E-04 ,-58,2370531378904 ,-1321 ,-72 , 1322,9606948054 
 3880 , 1,85419842716875E-04 ,-58,8488131973661 ,-1347 ,-59 , 1348,29151150632 
 3900 , 1,79264168846135E-04 ,-57,2448637997286 ,-1391 ,-100 , 1394,58990387856 
 3920 , 1,78724230158966E-04 ,-58,4473736871005 ,-1397 ,-71 , 1398,80305976217 
 3940 , 1,72409693040594E-04 ,-61,7519618527085 ,-1450 , 10 , 1450,03448234861 
 3960 , 1,64139479430506E-04 ,-60,7173055706974 ,-1523 ,-17 , 1523,09487557407 
 3980 , 1,71307753825449E-04 ,-57,4670137698001 ,-1456 ,-99 , 1459,3618468358 
 4000 , 1,72044936298188E-04 ,-57,6083207643888 ,-1450 ,-95 , 1453,10873646813 
 4020 , 1,62645709418457E-04 ,-60,7604036260664 ,-1537 ,-16 , 1537,08327685913 
 4040 , 1,56990459926869E-04 ,-59,9894716246209 ,-1592 ,-38 , 1592,45345300891 
 4060 , 1,59411513590473E-04 ,-60,2972660151221 ,-1568 ,-29 , 1568,26815309117 
 4080 , 1,55163178814563E-04 ,-55,2286932410238 ,-1602 ,-172 , 1611,20700097784 
 4100 , 1,50461111557084E-04 ,-57,111514363124 ,-1657 ,-123 , 1661,55890656937 
 4120 , 1,49641669112281E-04 ,-56,2400197915216 ,-1664 ,-149 , 1670,65765493712 
 4140 , 1,61207777150174E-04 ,-55,9918035673843 ,-1544 ,-145 , 1550,79366777144 
 4160 , 1,59248816776371E-04 ,-55,6171788626499 ,-1562 ,-157 , 1569,8703768146 
 4180 , 1,60050035621124E-04 ,-55,5513349411141 ,-1554 ,-158 , 1562,01152364507 
